products
"MILK,BREAD,BISCUIT"
"BREAD,MILK,BISCUIT,CORNFLAKES"
"BREAD,TEA,BOURNVITA"
"JAM,MAGGI,BREAD,MILK"
"MAGGI,TEA,BISCUIT"
"BREAD,TEA,BOURNVITA"
"MAGGI,TEA,CORNFLAKES"
"MAGGI,BREAD,TEA,BISCUIT"
"JAM,MAGGI,BREAD,TEA"
"BREAD,MILK"
"COFFEE,COCK,BISCUIT,CORNFLAKES"
"COFFEE,COCK,BISCUIT,CORNFLAKES"
"COFFEE,SUGER,BOURNVITA"
"BREAD,COFFEE,COCK"
"BREAD,SUGER,BISCUIT"
"COFFEE,SUGER,CORNFLAKES"
"BREAD,SUGER,BOURNVITA"
"BREAD,COFFEE,SUGER"
"BREAD,COFFEE,SUGER"
"TEA,MILK,COFFEE,CORNFLAKES"
"BREAD,BISCUIT,MILK"
"MAGGI,TEA,BISCUIT"
"BREAD,TEA,BOURNVITA"
"BREAD,MILK"
"BREAD,MAGGI,TEA"
"BREAD,MAGGI,TEA,BISCUIT"
"COFFEE,COCK,BISCUIT,CORNFLAKES"
"COFFEE,COCK,BISCUIT,CORNFLAKES"
"COFFEE,SUGER,BOURNVITA"
"BREAD,COFFEE,COCK"
"BREAD,SUGER,BISCUIT"
"COFFEE,SUGER,CORNFLAKES"
"BREAD,SUGER,BOURNVITA"
"BREAD,COFFEE,SUGER"
"BREAD,COFFEE,SUGER"
"TEA,MILK,COFFEE,CORNFLAKES"
"BREAD,MAGGI,TEA"
"BREAD,TEA,BOURNVITA"
"BREAD,MILK"
"BREAD,TEA,BISCUIT,CORNFLAKES"
"BREAD,TEA,BOURNVITA"
"MAGGI,TEA,CORNFLAKES"
"MAGGI,BREAD,TEA,BISCUIT"
"JAM,MAGGI,BREAD,TEA"
"BREAD,MILK"
"COFFEE,COCK,BISCUIT,CORNFLAKES"
"COFFEE,COCK,BISCUIT,CORNFLAKES"
"COFFEE,SUGER,BOURNVITA"
"BREAD,COFFEE,COCK"
"BREAD,SUGER,BISCUIT"
